id,name,date,diameter_avg,velocity_km_s,miss_distance_km,energy_megatons_TNT
54147685,(2021 KF2),2025-10-10,111.56876272225,15.5093542913,65308038.293486806,62.706634136791024
54360089,(2023 KX3),2025-10-10,30.1677289136,8.3661150323,28095165.727676293,0.3607229047979089
54387140,(2023 SL5),2025-10-10,7.5083172883,9.1932817532,43080564.735728152,0.0067153274901438145
54549690,(2025 SN29),2025-10-10,24.9426513899,8.9880965,4773773.528117924,0.23532144642797023
54549691,(2025 SP29),2025-10-10,26.1783709168,14.19746631,3708763.268475731,0.6788092467727705
3559911,(2011 ET74),2025-10-07,24.7481430032,18.0792095644,65301756.589166784,0.9300042513800261
3611402,(2012 TR231),2025-10-07,71.3744240651,18.3828706129,47911936.974305808,23.064960594248607
3781897,(2017 SL16),2025-10-07,28.1541627539,5.0013428598,21187666.679586415,0.10478504688963966
3819574,(2018 HG2),2025-10-07,60.47036873649999,23.0053158378,64466387.183138932,21.967592113298892
3831210,(2018 TX1),2025-10-07,56.6947202721,10.909964223,17554169.330821676,4.071671282236281
54016489,(2020 GA2),2025-10-07,254.41494355654999,30.0366565688,44561001.638214917,2788.87618668736
54165800,(2021 NM),2025-10-07,24.40858575155,23.8269863934,42583700.348488081,1.5497594373845383
54202333,(2021 TE1),2025-10-07,55.6599250072,24.9629732006,57739027.651871875,20.170593498006
54205444,(2021 TD7),2025-10-07,20.023621016150003,16.2004007293,19264377.970099245,0.3955283072658986
54312823,(2022 TD),2025-10-07,12.23327156955,7.4075552816,15054344.8216696,0.018857141440626782
54490869,(2024 TP14),2025-10-07,241.84806492265,34.7587465136,69712527.714254864,3208.147065896669
54545158,(2025 RG3),2025-10-07,63.349416182949994,9.3830673833,15062308.155646292,4.2016098874101075
54546614,(2025 SE3),2025-10-07,92.4576002037,10.4592605921,22935721.964316988,16.23035515419902
54546916,(2025 RX10),2025-10-07,39.98919087245,6.5150369964,15781356.301716092,0.5095183489349413
54548503,(2025 SM15),2025-10-07,14.412609399900001,10.2952217039,3077935.948382757,0.05956586638016096
2477719,477719 (2010 SG15),2025-10-06,38.1542232777,5.1613522899,14627344.868727792,0.27774935692110586
3255174,(2004 SW26),2025-10-06,31.73530063695,21.2348817181,58913122.359551083,2.7053642612519226
3648864,(2013 TT5),2025-10-06,23.63429308585,8.081453263,26175195.622538268,0.16184712433873694
3781891,(2017 ST16),2025-10-06,62.1645246148,9.8205556757,39292473.366979449,4.349087849945768
3785751,(2017 TS3),2025-10-06,158.32249192655001,16.8683475324,37278274.196450936,211.96840708923474
3838904,(2019 ED1),2025-10-06,12.80980789655,13.8527945685,57668727.169702136,0.07571829808273306
54131736,(2021 ED5),2025-10-06,399.52376422785,22.1815270319,10897501.480154408,5889.913783053043
54211501,(2021 UO),2025-10-06,352.8114059292,21.3098970711,25103009.856182164,3743.5941517192277
54215637,(2021 UV9),2025-10-06,71.04648837475,6.2439477868,38999447.656489516,2.624487940715907
54240297,(2022 BB3),2025-10-06,111.56876272225,16.3663298781,42025803.815114121,69.8278478790728
54318589,(2022 UN5),2025-10-06,40.5081693423,21.6495987978,63484736.402130258,5.84824773430786
54416724,(2023 XX12),2025-10-06,48.03332125155,7.4945176444,46153734.451093348,1.168458867687333
54486545,(2024 TK),2025-10-06,103.6436303836,22.301180174,37118375.615514216,103.93976939493264
54488497,(2024 TL5),2025-10-06,13.047960006050001,5.3974063811,9234102.717509828,0.01214776249809318
54496027,(2024 UJ5),2025-10-06,32.028943758349996,11.3649819643,27012890.138500808,0.7966426576903677
54547366,(2025 SU6),2025-10-06,59.039492662499995,9.0676832059,14392032.086671336,3.176279663345154
54549119,(2025 SC24),2025-10-06,34.44630295275,13.3335937488,4528950.106355579,1.3640192319243023
54549120,(2025 SH25),2025-10-06,19.034550124349998,12.7752940199,3543868.118681011,0.21128461006078308
54549688,(2025 SL29),2025-10-06,72.0348434798,5.5933307016,16053981.201076255,2.1951644000646393
3163746,(2003 UC5),2025-10-09,366.05185907625,23.986036034,57588819.811516737,5297.159130354486
3388887,(2007 US),2025-10-09,121.7706479227,14.0431032706,61796378.057664463,66.84243082086893
3612164,(2012 TA259),2025-10-09,364.3700035561,36.4366286631,70170345.770883253,12055.977514296794
3789121,(2017 VW1),2025-10-09,330.7825698093,17.5036173252,29656442.790907055,2081.5252140123243
3831876,(2018 UC),2025-10-09,28.41467001445,24.7638154344,73660759.010183958,2.640956045683062
54051399,(2020 QU5),2025-10-09,31.44434965185,13.6340013055,2713951.15110041,1.0848575569764995
54101717,(2020 YB3),2025-10-09,19.12240961575,14.1555974019,64000008.164002988,0.26301617699401064
54190785,(2021 QE2),2025-10-09,54.392950432700005,9.7442348048,16077901.661132663,2.8682799501271514
54489167,(2024 TT5),2025-10-09,50.7624549243,14.2780978485,28416562.270297477,5.00572242708198
54535145,(2025 MJ2),2025-10-09,211.61313287745,12.7510351375,10978995.90718285,289.21242109873805
54548209,(2025 ST14),2025-10-09,36.1029439284,5.7413778592,15710501.918472891,0.29117783756987825
54548507,(2025 SP15),2025-10-09,43.22575791295,8.0080535942,6271891.417819776,0.9722545810041118
54548711,(2025 SA21),2025-10-09,22.0162129299,7.7502067187,3553212.031560785,0.12032410195557196
54549118,(2025 SP23),2025-10-09,34.6691039288,14.7552216771,494631.758708617,1.7030113139752094
2162080,162080 (1998 DG16),2025-10-08,440.0911313929,17.0825053715,61525294.061244661,4669.057130570957
3785769,(2017 TJ4),2025-10-08,39.22316337185,18.3052886428,47262643.876571727,3.795589344634197
54017652,(2020 MK3),2025-10-08,29.75381215555,13.0947676574,62188993.269302085,0.8478551260604115
54055119,(2020 TQ3),2025-10-08,21.5547314748,18.420602078,60209055.272237138,0.6378722340065375
54278307,(2022 JA1),2025-10-08,36.269587546,9.7409613216,50158125.400771709,0.8498253736164466
54296538,(2022 QP1),2025-10-08,89.03127991745001,3.1339293811,65888566.62094542,1.301081399248213
54314205,(2022 TU1),2025-10-08,11.899880957,12.9051311585,6459032.294476041,0.052680622917400145
54545163,(2025 RN3),2025-10-08,45.660705436949996,4.3726601897,25164454.727879596,0.34167839091778585
54547373,(2025 SJ7),2025-10-08,78.2604997497,8.100480555,15080573.502061173,5.904017332206142
54547374,(2025 SK7),2025-10-08,104.98871418085,23.0576131902,9336916.292112609,115.49275855251001
54549122,(2025 SW25),2025-10-08,28.916293012350003,6.1990238587,9653241.646458237,0.1744105179395344
54549687,(2025 SJ29),2025-10-08,20.85175516145,10.4411958802,3220725.215404808,0.1855352965637467
54550499,(2025 SD38),2025-10-08,21.62432783535,6.0026226154,11430922.934328722,0.06839244602512887
